测试频道1_999,#genre#

直播,http://cdn.adultiptv.net/livecams.m3u8
肛交,http://cdn.adultiptv.net/anal.m3u8
巨尻,http://cdn.adultiptv.net/bigass.m3u8
大鸟,http://cdn.adultiptv.net/bigdick.m3u8
爆乳,http://cdn.adultiptv.net/bigtits.m3u8
金发,http://cdn.adultiptv.net/blonde.m3u8
口交,http://cdn.adultiptv.net/blowjob.m3u8
褐发,http://cdn.adultiptv.net/brunette.m3u8
合集,http://cdn.adultiptv.net/compilation.m3u8
绿帽,http://cdn.adultiptv.net/cuckold.m3u8
恋物,http://cdn.adultiptv.net/fetish.m3u8
群交,http://cdn.adultiptv.net/gangbang.m3u8
男同,http://cdn.adultiptv.net/gay.m3u8
硬核,http://cdn.adultiptv.net/hardcore.m3u8
异种,http://cdn.adultiptv.net/interracial.m3u8
拉丁,http://cdn.adultiptv.net/latina.m3u8
女同,http://cdn.adultiptv.net/lesbian.m3u8
少妇http://cdn.adultiptv.net/milf.m3u8
色星,http://cdn.adultiptv.net/pornstar.m3u8
第一视角,http://cdn.adultiptv.net/pov.m3u8
粗暴,http://cdn.adultiptv.net/rough.m3u8
俄罗斯,http://cdn.adultiptv.net/russian.m3u8
少女,http://cdn.adultiptv.net/teen.m3u8
三人,http://cdn.adultiptv.net/threesome.m3u8
三人,http://live.adultiptv.net/threesome.m3u8
亚洲,http://cdn.adultiptv.net/asian.m3u8
亚洲,http://live.adultiptv.net/asian.m3u8


频道测试2_999,#genre#
蜜桃成熟时33D,https://v5.jindangao.com/jj/j4/11/hls/index.m3u8
蜜桃成熟时3之蜜桃仙子,https://v5.jindangao.com/jj/j4/13/hls/index.m3u8
燕妇转世1,https://v5.jindangao.com/fff/ff9/23/hls/index.m3u8
燕妇转世2,https://v5.jindangao.com/fff/ff9/24/hls/index.m3u8
兽生秀惑之赤果生游戏2000,https://v6.jindangao.com/hj/hj2/hj23/25/hls/index.m3u8
屠夫,https://v6.jindangao.com/hj/hj2/hj24/38/hls/index.m3u8
贴身保镖,https://v6.jindangao.com/hj/hj2/hj24/31/hls/index.m3u8
舒淇早期激青合集,https://v6.jindangao.com/hj/hj2/hj25/36/hls/index.m3u8
燕鬼冤魂,https://v6.jindangao.com/hj/hj2/hj27/34/hls/index.m3u8
夜半思孚時,https://v6.jindangao.com/hj/hj2/hj28/1/hls/index.m3u8
越轨之狼完整版,https://v6.jindangao.com/hj/hj2/hj29/12/hls/index.m3u8
外文初夜青,https://v6.jindangao.com/hj/hj1/hj3/22/hls/index.m3u8
我为卿狂,https://v5.jindangao.com/fff/ff7/21/hls/index.m3u8
水浒传之英雄好摄,https://v5.jindangao.com/gg/g9/23/hls/index.m3u8
玉火狂蜜,https://v6.jindangao.com/hj/hj2/hj28/44/hls/index.m3u8
满清十大酷刑,https://v5.jindangao.com/jj/j1/46/hls/index.m3u8
剑奴,https://v5.jindangao.com/ff/f4/4/hls/index.m3u8
婚前试爱,https://v5.jindangao.com/ff/f2/7/hls/index.m3u8
我来自北京,https://v5.jindangao.com/fff/ff7/8/hls/index.m3u8
竹本玉蒲团,https://v5.jindangao.com/fff/ff0/38/hls/index.m3u8
人肉叉烧包,https://v6.jindangao.com/v26/26/600kb/hls/index.m3u8
生气功之探秘,https://v5.jindangao.com/hh/h2/17/hls/index.m3u8
青楼十二户国粤双语,https://v5.jindangao.com/nn/n9/51/hls/index.m3u8
与蛇共舞,https://v5.jindangao.com/hh/h6/27/hls/index.m3u8
聊斋花弄月,https://v5.jindangao.com/eee/ee10/14/hls/index.m3u8
风月奇谭,https://v5.jindangao.com/ll/l5/38/hls/index.m3u8
唐朝禁宫风月,https://v5.jindangao.com/gg/g10/26/hls/index.m3u8
摄玉怪谈之魔奸赢者,https://v5.jindangao.com/gg/g5/21/hls/index.m3u8
赢魔暴行,https://v5.jindangao.com/oo/o10/18/hls/index.m3u8
樱花劫,https://v5.jindangao.com/hh/h7/24/hls/index.m3u8
茅山斗降头,https://v5.jindangao.com/ff/f10/31/hls/index.m3u8
生的厉鬼,https://v5.jindangao.com/eee/ee1/23/hls/index.m3u8
降头2007,https://v5.jindangao.com/ff/f4/8/hls/index.m3u8
五行鬼尸,https://v5.jindangao.com/oo/o8/19/hls/index.m3u8
香帅传奇之天一神油,https://v5.jindangao.com/kk/k1/28/hls/index.m3u8
愉青宝鉴生爱三十六户,https://v5.jindangao.com/fff/ff0/32/hls/index.m3u8
浮世风青绘,https://v5.jindangao.com/xx/x2/22/hls/index.m3u8
武松1982,https://v5.jindangao.com/ee/e1/12/hls/index.m3u8
邪斗邪,https://v5.jindangao.com/oo/o8/46/hls/index.m3u8
催花神龙教,https://v5.jindangao.com/ll/l1/38/hls/index.m3u8
摄咒邪灵燕降勾魂,https://v5.jindangao.com/oo/o7/1/hls/index.m3u8
被牺牲的妻子,https://8xi78.xyz/assets/10199a8bfd134675b8456e92fcbe9b27.mp4
兽性陷阱,https://v6.jindangao.com/hj/hj2/hj23/24/hls/index.m3u8
